,release,capture_dates_range,vda_id,ffe_elev_status,ffe_ft,ffe_lhsm_ft,ffe_foundation
229,2,2/3/2020-2/23/2020,FMB2291,elevated,8.584017467,8.06768559,Wall
230,2,2/3/2020-2/23/2020,FMB1943,elevated,10.16756757,8.054826255,Wall
231,2,2/3/2020-2/23/2020,FMB1944,not-elevated,0.0,,Slab-on-Grade
232,2,2/3/2020-2/23/2020,,,,,
233,2,2/3/2020-2/23/2020,FMB2292,elevated,6.795125448,5.552114695,Piles/Columns
234,2,2/3/2020-2/23/2020,FMB1947,not-elevated,0.0,,Slab-on-Grade
235,2,2/3/2020-2/23/2020,FMB2293,not-elevated,0.0,,Slab-on-Grade
236,2,2/3/2020-2/23/2020,FMB2294,elevated,8.368680089,7.015659955,Wall
237,2,2/3/2020-2/23/2020,FMB2219,elevated,8.012345679,,Wall
238,2,2/3/2020-2/23/2020,FMB2295,elevated,7.963272727,5.809272727,Wall
239,2,2/3/2020-2/23/2020,FMB2859,,,,
240,2,2/3/2020-2/23/2020,FMB2220,elevated,8.461538462,7.615384615,Piles/Columns
241,2,2/3/2020-2/23/2020,FMB2221,not-elevated,0.0,,Slab-on-Grade
